w1,w2,bigram,count,probability
whole,different,whole different,1,0.0625
bars,are,bars are,1,0.0625
part,about,part about,2,0.0625
future,return,future return,1,0.0625
bars,for,bars for,1,0.0625
doormen,being,doormen being,1,0.0625
lost,time,lost time,1,0.0625
minutes,on,minutes on,3,0.0625
major,city,major city,1,0.0625
reservation,was,reservation was,4,0.0625
needed,an,needed an,1,0.0625
let,'s,let 's,2,0.0625
lost,",","lost ,",1,0.0625
two,beds,two beds,8,0.0625
people,were,people were,5,0.0625
charges,",","charges ,",1,0.0625
lots,to,lots to,1,0.0625
company,won,company won,1,0.0625
issue,at,issue at,1,0.0625
elevators,to,elevators to,2,0.0625
minutes,in,minutes in,3,0.0625
try,it,try it,2,0.0625
ask,about,ask about,1,0.0625
let,it,let it,2,0.0625
charges,no,charges no,1,0.0625
loud,on,loud on,1,0.0625
management,...,management ...,1,0.0625
management,saw,management saw,1,0.0625
throughout,spacious,throughout spacious,1,0.0625
lost,...,lost ...,1,0.0625
fun,to,fun to,1,0.0625
noticed,everything,noticed everything,1,0.0625
half,smoking,half smoking,1,0.0625
ask,if,ask if,1,0.0625
doors,opened,doors opened,1,0.0625
future,trips,future trips,1,0.0625
<num>nd,wedding,<num>nd wedding,1,0.0625
company,check,company check,1,0.0625
future,",","future ,",1,0.0625
sofitel,?,sofitel ?,1,0.0625
weekend,and,weekend and,4,0.0625
whole,stay,whole stay,1,0.0625
yet,-,yet -,1,0.0625
company,),company ),1,0.0625
doormen,at,doormen at,1,0.0625
future,guests,future guests,1,0.0625
issue,was,issue was,1,0.0625
yet,warm,yet warm,1,0.0625
clerk,claimed,clerk claimed,1,0.0625
doors,did,doors did,1,0.0625
fun,music,fun music,1,0.0625
needed,.,needed .,1,0.0625
part,.,part .,2,0.0625
bring,everything,bring everything,1,0.0625
management,<UNK>,management <UNK>,1,0.0625
elevators,for,elevators for,2,0.0625
needed,a,needed a,1,0.0625
noticed,they,noticed they,1,0.0625
ask,your,ask your,1,0.0625
half,my,half my,1,0.0625
doors,that,doors that,1,0.0625
clerk,even,clerk even,1,0.0625
noticed,there,noticed there,1,0.0625
charges,were,charges were,1,0.0625
charges,onto,charges onto,1,0.0625
management,to,management to,1,0.0625
turn,the,turn the,1,0.0625
yet,",","yet ,",1,0.0625
company,card,company card,1,0.0625
half,a,half a,1,0.0625
ask,a,ask a,1,0.0625
company,as,company as,1,0.0625
fun,<UNK>,fun <UNK>,1,0.0625
doormen,who,doormen who,1,0.0625
fun,trip,fun trip,1,0.0625
whole,hotel,whole hotel,1,0.0625
lots,and,lots and,1,0.0625
lost,it,lost it,1,0.0625
clerk,who,clerk who,1,0.0625
clerk,working,clerk working,1,0.0625
bars,were,bars were,1,0.0625
lost,from,lost from,1,0.0625
lost,feeling,lost feeling,1,0.0625
yet,i,yet i,1,0.0625
thank,them,thank them,1,0.0625
future,;,future ;,1,0.0625
issue,when,issue when,1,0.0625
lost,its,lost its,1,0.0625
clerk,<UNK>,clerk <UNK>,1,0.0625
management,did,management did,1,0.0625
needed,including,needed including,1,0.0625
clerk,could,clerk could,1,0.0625
ask,them,ask them,1,0.0625
throughout,north,throughout north,1,0.0625
bill,showed,bill showed,1,0.0625
company,(,company (,1,0.0625
bill,",","bill ,",1,0.0625
needed,extra,needed extra,1,0.0625
major,complaint,major complaint,1,0.0625
half,an,half an,1,0.0625
bars,on,bars on,1,0.0625
half,of,half of,1,0.0625
clerk,when,clerk when,1,0.0625
whole,weekend,whole weekend,1,0.0625
management,",","management ,",1,0.0625
management,who,management who,1,0.0625
turn,off,turn off,1,0.0625
bill,by,bill by,1,0.0625
charges,$,charges $,1,0.0625
turn,to,turn to,1,0.0625
good,location,good location,10,0.062111801242236024
bathroom,",","bathroom ,",8,0.06201550387596899
bathroom,is,bathroom is,8,0.06201550387596899
comfortable,bed,comfortable bed,7,0.061946902654867256
stay,there,stay there,25,0.06157635467980296
...,the,... the,13,0.06132075471698113
there,were,there were,22,0.06128133704735376
hilton,for,hilton for,3,0.061224489795918366
still,in,still in,3,0.061224489795918366
hilton,on,hilton on,3,0.061224489795918366
called,for,called for,6,0.061224489795918366
took,a,took a,3,0.061224489795918366
breakfast,is,breakfast is,6,0.061224489795918366
other,guests,other guests,8,0.061068702290076333
other,hotels,other hotels,8,0.061068702290076333
michigan,<UNK>,michigan <UNK>,5,0.06097560975609756
michigan,.,michigan .,5,0.06097560975609756
time,in,time in,9,0.060810810810810814
so,<UNK>,so <UNK>,17,0.060714285714285714
until,<num>pm,until <num>pm,2,0.06060606060606061
rock,is,rock is,2,0.06060606060606061
full,.,full .,2,0.06060606060606061
having,stayed,having stayed,2,0.06060606060606061
full,and,full and,2,0.06060606060606061
line,<UNK>,line <UNK>,2,0.06060606060606061
money,i,money i,2,0.06060606060606061
having,had,having had,2,0.06060606060606061
money,to,money to,2,0.06060606060606061
until,finally,until finally,2,0.06060606060606061
full,),full ),2,0.06060606060606061
line,at,line at,2,0.06060606060606061
until,this,until this,2,0.06060606060606061
having,to,having to,2,0.06060606060606061
line,as,line as,2,0.06060606060606061
rock,&,rock &,2,0.06060606060606061
than,that,than that,6,0.06060606060606061
before,i,before i,4,0.06060606060606061
building,is,building is,2,0.06060606060606061
before,<UNK>,before <UNK>,4,0.06060606060606061
rock,had,rock had,2,0.06060606060606061
building,that,building that,2,0.06060606060606061
quality,was,quality was,2,0.06060606060606061
having,booked,having booked,2,0.06060606060606061
line,is,line is,2,0.06060606060606061
line,of,line of,2,0.06060606060606061
until,<UNK>,until <UNK>,2,0.06060606060606061
having,<UNK>,having <UNK>,2,0.06060606060606061
up,the,up the,11,0.06043956043956044
day,of,day of,7,0.0603448275862069
concierge,and,concierge and,3,0.06
concierge,were,concierge were,3,0.06
restaurant,was,restaurant was,4,0.05970149253731343
n't,<UNK>,n't <UNK>,20,0.05952380952380952
they,are,they are,29,0.05930470347648262
they,had,they had,29,0.05930470347648262
oh,yes,oh yes,1,0.058823529411764705
separate,seating,separate seating,1,0.058823529411764705
little,more,little more,3,0.058823529411764705
large,<UNK>,large <UNK>,4,0.058823529411764705
huge,and,huge and,2,0.058823529411764705
ordered,food,ordered food,1,0.058823529411764705
wifi,",","wifi ,",1,0.058823529411764705
key,the,key the,1,0.058823529411764705
block,and,block and,1,0.058823529411764705
bell,man,bell man,1,0.058823529411764705
things,would,things would,2,0.058823529411764705
oh,?,oh ?,1,0.058823529411764705
previous,guests,previous guests,1,0.058823529411764705
welcome,but,welcome but,1,0.058823529411764705
while,<UNK>,while <UNK>,4,0.058823529411764705
bottle,<UNK>,bottle <UNK>,1,0.058823529411764705
block,back,block back,1,0.058823529411764705
ordered,.,ordered .,1,0.058823529411764705
show,dirty,show dirty,1,0.058823529411764705
bottle,that,bottle that,1,0.058823529411764705
bottle,for,bottle for,1,0.058823529411764705
beautiful,room,beautiful room,4,0.058823529411764705
areas,.,areas .,1,0.058823529411764705
returned,home,returned home,2,0.058823529411764705
separate,from,separate from,1,0.058823529411764705
bell,boys,bell boys,1,0.058823529411764705
coming,after,coming after,1,0.058823529411764705
<num>/<num>,full,<num>/<num> full,1,0.058823529411764705
while,it,while it,4,0.058823529411764705
requested,.,requested .,2,0.058823529411764705
including,myself,including myself,1,0.058823529411764705
returned,my,returned my,2,0.058823529411764705
complaint,",","complaint ,",1,0.058823529411764705
book,with,book with,1,0.058823529411764705
separate,door,separate door,1,0.058823529411764705
book,rate,book rate,1,0.058823529411764705
wifi,costs,wifi costs,1,0.058823529411764705
millenium,station,millenium station,1,0.058823529411764705
wifi,here,wifi here,1,0.058823529411764705
including,taxes,including taxes,1,0.058823529411764705
previous,address,previous address,1,0.058823529411764705
complaint,from,complaint from,1,0.058823529411764705
daughter,.,daughter .,1,0.058823529411764705
paying,extra,paying extra,1,0.058823529411764705
coming,down,coming down,1,0.058823529411764705
trying,over,trying over,1,0.058823529411764705
key,cards,key cards,1,0.058823529411764705
show,my,show my,1,0.058823529411764705
things,in,things in,2,0.058823529411764705
<num>/<num>,reservation,<num>/<num> reservation,1,0.058823529411764705
inn,near,inn near,1,0.058823529411764705
show,was,show was,1,0.058823529411764705
probably,paid,probably paid,1,0.058823529411764705
<num>-<num>,better,<num>-<num> better,1,0.058823529411764705
including,:,including :,1,0.058823529411764705
previous,weekend,previous weekend,1,0.058823529411764705
book,out,book out,1,0.058823529411764705
key,",","key ,",1,0.058823529411764705
inn,i,inn i,1,0.058823529411764705
<num>/<num>,of,<num>/<num> of,1,0.058823529411764705
tiny,.,tiny .,2,0.058823529411764705
show,her,show her,1,0.058823529411764705
areas,starbucks,areas starbucks,1,0.058823529411764705
huge,bathroom,huge bathroom,2,0.058823529411764705
sure,the,sure the,2,0.058823529411764705
walk,around,walk around,4,0.058823529411764705
she,would,she would,4,0.058823529411764705
probably,due,probably due,1,0.058823529411764705
wifi,.,wifi .,1,0.058823529411764705
block,",","block ,",1,0.058823529411764705
millenium,instead,millenium instead,1,0.058823529411764705
probably,ate,probably ate,1,0.058823529411764705
wifi,is,wifi is,1,0.058823529411764705
<num>/<num>,",","<num>/<num> ,",1,0.058823529411764705
book,into,book into,1,0.058823529411764705
ordered,(,ordered (,1,0.058823529411764705
areas,along,areas along,1,0.058823529411764705
show,because,show because,1,0.058823529411764705
<num>/<num>,blocks,<num>/<num> blocks,1,0.058823529411764705
areas,from,areas from,1,0.058823529411764705
including,two,including two,1,0.058823529411764705
book,",","book ,",1,0.058823529411764705
<num>-<num>,",","<num>-<num> ,",1,0.058823529411764705
checking,under,checking under,1,0.058823529411764705
<num>-<num>,not,<num>-<num> not,1,0.058823529411764705
quite,often,quite often,3,0.058823529411764705
<num>/<num>,hour,<num>/<num> hour,1,0.058823529411764705
probably,not,probably not,1,0.058823529411764705
coming,out,coming out,1,0.058823529411764705
areas,<UNK>,areas <UNK>,1,0.058823529411764705
block,the,block the,1,0.058823529411764705
paying,that,paying that,1,0.058823529411764705
<num>-<num>,for,<num>-<num> for,1,0.058823529411764705
previous,room,previous room,1,0.058823529411764705
show,i,show i,1,0.058823529411764705
complaint,about,complaint about,1,0.058823529411764705
separate,check-in,separate check-in,1,0.058823529411764705
sure,they,sure they,2,0.058823529411764705
bottle,to,bottle to,1,0.058823529411764705
omni,",","omni ,",2,0.058823529411764705
something,out,something out,2,0.058823529411764705
bottle,would,bottle would,1,0.058823529411764705
previous,week,previous week,1,0.058823529411764705
separate,mention,separate mention,1,0.058823529411764705
<num>/<num>,that,<num>/<num> that,1,0.058823529411764705
book,at,book at,1,0.058823529411764705
things,right,things right,2,0.058823529411764705
millenium,<UNK>,millenium <UNK>,1,0.058823529411764705
welcome,letter,welcome letter,1,0.058823529411764705
looked,out,looked out,2,0.058823529411764705
previous,trip,previous trip,1,0.058823529411764705
ordered,wine,ordered wine,1,0.058823529411764705
extra,money,extra money,2,0.058823529411764705
wifi,was,wifi was,1,0.058823529411764705
coming,home,coming home,1,0.058823529411764705
including,a,including a,1,0.058823529411764705
inn,!,inn !,1,0.058823529411764705
probably,ask,probably ask,1,0.058823529411764705
welcome,you,welcome you,1,0.058823529411764705
daughter,",","daughter ,",1,0.058823529411764705
areas,to,areas to,1,0.058823529411764705
key,card,key card,1,0.058823529411764705
daughter,was,daughter was,1,0.058823529411764705
complaint,being,complaint being,1,0.058823529411764705
book,online,book online,1,0.058823529411764705
<num>-<num>,<UNK>,<num>-<num> <UNK>,1,0.058823529411764705
complaint,?,complaint ?,1,0.058823529411764705
separate,glass,separate glass,1,0.058823529411764705
including,internet,including internet,1,0.058823529411764705
sure,my,sure my,2,0.058823529411764705
previous,top,previous top,1,0.058823529411764705
set,at,set at,1,0.058823529411764705
set,my,set my,1,0.058823529411764705
bottle,in,bottle in,1,0.058823529411764705
areas,",","areas ,",1,0.058823529411764705
book,my,book my,1,0.058823529411764705
book,directly,book directly,1,0.058823529411764705
<num>-<num>,to,<num>-<num> to,1,0.058823529411764705
including,house,including house,1,0.058823529411764705
pay,almost,pay almost,2,0.058823529411764705
wifi,provides,wifi provides,1,0.058823529411764705
probably,more,probably more,1,0.058823529411764705
trying,.,trying .,1,0.058823529411764705
something,like,something like,2,0.058823529411764705
daughter,),daughter ),1,0.058823529411764705
wifi,<UNK>,wifi <UNK>,1,0.058823529411764705
something,to,something to,2,0.058823529411764705
oh,my,oh my,1,0.058823529411764705
paying,guests,paying guests,1,0.058823529411764705
sure,what,sure what,2,0.058823529411764705
key,did,key did,1,0.058823529411764705
checking,my,checking my,1,0.058823529411764705
probably,pretty,probably pretty,1,0.058823529411764705
ordered,an,ordered an,1,0.058823529411764705
ordered,late,ordered late,1,0.058823529411764705
daughter,downtown,daughter downtown,1,0.058823529411764705
inn,than,inn than,1,0.058823529411764705
daughter,<UNK>,daughter <UNK>,1,0.058823529411764705
<num>/<num>,and,<num>/<num> and,1,0.058823529411764705
paying,full,paying full,1,0.058823529411764705
show,a,show a,1,0.058823529411764705
sure,i,sure i,2,0.058823529411764705
complaint,-,complaint -,1,0.058823529411764705
previous,times,previous times,1,0.058823529411764705
separate,bath,separate bath,1,0.058823529411764705
coming,<UNK>,coming <UNK>,1,0.058823529411764705
bell,guys,bell guys,1,0.058823529411764705
<num>-<num>,store,<num>-<num> store,1,0.058823529411764705
omni,and,omni and,2,0.058823529411764705
wifi,!,wifi !,1,0.058823529411764705
<num>-<num>,blocks,<num>-<num> blocks,1,0.058823529411764705
book,anywhere,book anywhere,1,0.058823529411764705
<num>/<num>,totally,<num>/<num> totally,1,0.058823529411764705
much,.,much .,5,0.058823529411764705
while,i,while i,4,0.058823529411764705
ordered,some,ordered some,1,0.058823529411764705
bell,and,bell and,1,0.058823529411764705
inn,are,inn are,1,0.058823529411764705
paying,well,paying well,1,0.058823529411764705
oh,.,oh .,1,0.058823529411764705
millenium,.,millenium .,1,0.058823529411764705
book,now,book now,1,0.058823529411764705
book,the,book the,1,0.058823529411764705
checking,priceline,checking priceline,1,0.058823529411764705
'm,paying,'m paying,2,0.058823529411764705
'm,still,'m still,2,0.058823529411764705
probably,because,probably because,1,0.058823529411764705
while,this,while this,4,0.058823529411764705
<num>-<num>,/,<num>-<num> /,1,0.058823529411764705
inn,at,inn at,1,0.058823529411764705
welcome,",","welcome ,",1,0.058823529411764705
quite,large,quite large,3,0.058823529411764705
inn,and,inn and,1,0.058823529411764705
including,",","including ,",1,0.058823529411764705
wifi,to,wifi to,1,0.058823529411764705
show,your,show your,1,0.058823529411764705
daughter,to,daughter to,1,0.058823529411764705
requested,on,requested on,2,0.058823529411764705
set,in,set in,1,0.058823529411764705
trying,it,trying it,1,0.058823529411764705
daughter,who,daughter who,1,0.058823529411764705
trying,out,trying out,1,0.058823529411764705
previous,stays,previous stays,1,0.058823529411764705
welcome,back,welcome back,1,0.058823529411764705
paying,.,paying .,1,0.058823529411764705
inn,that,inn that,1,0.058823529411764705
book,elsewhere,book elsewhere,1,0.058823529411764705
paying,a,paying a,1,0.058823529411764705
ordered,arrived,ordered arrived,1,0.058823529411764705
extra,towels,extra towels,2,0.058823529411764705
set,you,set you,1,0.058823529411764705
sure,it,sure it,2,0.058823529411764705
'm,sure,'m sure,2,0.058823529411764705
areas,&,areas &,1,0.058823529411764705
separate,sitting,separate sitting,1,0.058823529411764705
welcome,!,welcome !,1,0.058823529411764705
when,you,when you,16,0.05860805860805861
no,one,no one,15,0.058365758754863814
an,old,an old,13,0.05829596412556054
well,as,well as,6,0.05825242718446602
?,!,? !,6,0.05825242718446602
view,",","view ,",6,0.05825242718446602
view,from,view from,6,0.05825242718446602
made,to,made to,5,0.05813953488372093
water,for,water for,4,0.057971014492753624
water,in,water in,4,0.057971014492753624
what,you,what you,7,0.05785123966942149
last,visit,last visit,3,0.057692307692307696
last,week,last week,3,0.057692307692307696
last,<UNK>,last <UNK>,3,0.057692307692307696
rate,!,rate !,3,0.057692307692307696
last,minute,last minute,3,0.057692307692307696
think,a,think a,3,0.057692307692307696
last,time,last time,3,0.057692307692307696
think,you,think you,3,0.057692307692307696
",",i,", i",170,0.05764665988470668
all,.,all .,16,0.05755395683453238
for,<UNK>,for <UNK>,59,0.057504873294346975
<UNK>,and,<UNK> and,347,0.057374338624338626
used,for,used for,2,0.05714285714285714
business,",","business ,",4,0.05714285714285714
door,for,door for,4,0.05714285714285714
week,",","week ,",2,0.05714285714285714
overall,a,overall a,2,0.05714285714285714
area,of,area of,4,0.05714285714285714
different,room,different room,2,0.05714285714285714
different,hotels,different hotels,2,0.05714285714285714
available,for,available for,2,0.05714285714285714
overall,.,overall .,2,0.05714285714285714
available,so,available so,2,0.05714285714285714
business,trip,business trip,4,0.05714285714285714
felt,the,felt the,2,0.05714285714285714
wine,at,wine at,2,0.05714285714285714
overall,i,overall i,2,0.05714285714285714
wine,(,wine (,2,0.05714285714285714
week,with,week with,2,0.05714285714285714
business,.,business .,4,0.05714285714285714
felt,comfortable,felt comfortable,2,0.05714285714285714
felt,it,felt it,2,0.05714285714285714
more,</s>,more </s>,6,0.05714285714285714
felt,safe,felt safe,2,0.05714285714285714
me,",","me ,",14,0.056910569105691054
which,we,which we,10,0.056818181818181816
very,clean,very clean,27,0.05660377358490566
desk,person,desk person,9,0.05660377358490566
guests,and,guests and,3,0.05660377358490566
...,.,... .,12,0.05660377358490566
definitely,not,definitely not,3,0.05660377358490566
definitely,be,definitely be,3,0.05660377358490566
definitely,is,definitely is,3,0.05660377358490566
desk,was,desk was,9,0.05660377358490566
definitely,<UNK>,definitely <UNK>,3,0.05660377358490566
n't,be,n't be,19,0.05654761904761905
could,hear,could hear,10,0.05649717514124294
at,a,at a,42,0.056375838926174496
too,far,too far,4,0.056338028169014086
am,in,am in,4,0.056338028169014086
too,many,too many,4,0.056338028169014086
experience,was,experience was,4,0.056338028169014086
experience,with,experience with,4,0.056338028169014086
am,very,am very,4,0.056338028169014086
am,sure,am sure,4,0.056338028169014086
only,a,only a,9,0.05625
only,<num>,only <num>,9,0.05625
free,wi-fi,free wi-fi,5,0.056179775280898875
free,wifi,free wifi,5,0.056179775280898875
free,.,free .,5,0.056179775280898875
hotels,to,hotels to,6,0.056074766355140186
staff,.,staff .,15,0.055970149253731345
-,the,- the,12,0.05581395348837209
the,room,the room,295,0.05571293673276676
train,around,train around,1,0.05555555555555555
doorman,then,doorman then,1,0.05555555555555555
outside,door,outside door,1,0.05555555555555555
outside,when,outside when,1,0.05555555555555555
train,",","train ,",1,0.05555555555555555
already,been,already been,1,0.05555555555555555
<num>pm,in,<num>pm in,1,0.05555555555555555
already,...,already ...,1,0.05555555555555555
security,to,security to,1,0.05555555555555555
outside,.,outside .,1,0.05555555555555555
delivered,immediately,delivered immediately,1,0.05555555555555555
doorman,were,doorman were,1,0.05555555555555555
train,a,train a,1,0.05555555555555555
already,happened,already happened,1,0.05555555555555555
value,of,value of,1,0.05555555555555555
fitness,club,fitness club,1,0.05555555555555555
fitness,',fitness ',1,0.05555555555555555
lot,to,lot to,2,0.05555555555555555
parking,",","parking ,",3,0.05555555555555555
train,home,train home,1,0.05555555555555555
cold,shower,cold shower,1,0.05555555555555555
member,just,member just,1,0.05555555555555555
choice,to,choice to,1,0.05555555555555555
entire,room,entire room,1,0.05555555555555555
already,taken,already taken,1,0.05555555555555555
fitness,'',fitness '',1,0.05555555555555555
family,was,family was,2,0.05555555555555555
member,with,member with,1,0.05555555555555555
security,twice,security twice,1,0.05555555555555555
fine,though,fine though,1,0.05555555555555555
fine,<UNK>,fine <UNK>,1,0.05555555555555555
entire,week,entire week,1,0.05555555555555555
delivered,a,delivered a,1,0.05555555555555555
everything,",","everything ,",4,0.05555555555555555
cold,...,cold ...,1,0.05555555555555555
already,disappointed,already disappointed,1,0.05555555555555555
entire,time,entire time,1,0.05555555555555555
delivered,the,delivered the,1,0.05555555555555555
security,if,security if,1,0.05555555555555555
place,",","place ,",5,0.05555555555555555
airport,?,airport ?,1,0.05555555555555555
happened,with,happened with,1,0.05555555555555555
happened,several,happened several,1,0.05555555555555555
review,<UNK>,review <UNK>,1,0.05555555555555555
north,restaurants,north restaurants,1,0.05555555555555555
making,sure,making sure,1,0.05555555555555555
train,ride,train ride,1,0.05555555555555555
review,from,review from,1,0.05555555555555555
making,us,making us,1,0.05555555555555555
morning,coffee,morning coffee,4,0.05555555555555555
like,i,like i,8,0.05555555555555555
already,half,already half,1,0.05555555555555555
making,other,making other,1,0.05555555555555555
fine,place,fine place,1,0.05555555555555555
member,(,member (,1,0.05555555555555555
cold,air,cold air,1,0.05555555555555555
like,we,like we,8,0.05555555555555555
already,paying,already paying,1,0.05555555555555555
everything,you,everything you,4,0.05555555555555555
train,or,train or,1,0.05555555555555555
north,side,north side,1,0.05555555555555555
husband,is,husband is,2,0.05555555555555555
entire,place,entire place,1,0.05555555555555555
fine,...,fine ...,1,0.05555555555555555
doorman,offered,doorman offered,1,0.05555555555555555
train,etc,train etc,1,0.05555555555555555
ok,staff,ok staff,1,0.05555555555555555
choice,",","choice ,",1,0.05555555555555555
cold,drink,cold drink,1,0.05555555555555555
review,when,review when,1,0.05555555555555555
delivered,(,delivered (,1,0.05555555555555555
home,my,home my,2,0.05555555555555555
airport,for,airport for,1,0.05555555555555555
ok,<UNK>,ok <UNK>,1,0.05555555555555555
<num>pm,after,<num>pm after,1,0.05555555555555555
<num>pm,to,<num>pm to,1,0.05555555555555555
doorman,at,doorman at,1,0.05555555555555555
drink,prices,drink prices,1,0.05555555555555555
high,expectations,high expectations,2,0.05555555555555555
airport,--,airport --,1,0.05555555555555555
high,points,high points,2,0.05555555555555555
airport,without,airport without,1,0.05555555555555555
already,very,already very,1,0.05555555555555555
like,<UNK>,like <UNK>,8,0.05555555555555555
cold,(,cold (,1,0.05555555555555555
airport,than,airport than,1,0.05555555555555555
fine,being,fine being,1,0.05555555555555555
checked,me,checked me,3,0.05555555555555555
fine,people,fine people,1,0.05555555555555555
outside,where,outside where,1,0.05555555555555555
choice,in,choice in,1,0.05555555555555555
fine,and,fine and,1,0.05555555555555555
airport,let,airport let,1,0.05555555555555555
train,directly,train directly,1,0.05555555555555555
making,me,making me,1,0.05555555555555555
north,and,north and,1,0.05555555555555555
home,to,home to,2,0.05555555555555555
delivered,an,delivered an,1,0.05555555555555555
husband,&,husband &,2,0.05555555555555555
review,...,review ...,1,0.05555555555555555
review,'s,review 's,1,0.05555555555555555
value,whatsoever,value whatsoever,1,0.05555555555555555
choice,with,choice with,1,0.05555555555555555
making,a,making a,1,0.05555555555555555
choice,was,choice was,1,0.05555555555555555
choice,!,choice !,1,0.05555555555555555
already,spent,already spent,1,0.05555555555555555
review,in,review in,1,0.05555555555555555
ok,(,ok (,1,0.05555555555555555
review,before,review before,1,0.05555555555555555
security,issue,security issue,1,0.05555555555555555
<num>pm,(,<num>pm (,1,0.05555555555555555
value,and,value and,1,0.05555555555555555
already,set,already set,1,0.05555555555555555
visit,with,visit with,2,0.05555555555555555
drink,much,drink much,1,0.05555555555555555
lot,and,lot and,2,0.05555555555555555
train,stop,train stop,1,0.05555555555555555
home,when,home when,2,0.05555555555555555
happened,<num>,happened <num>,1,0.05555555555555555
ok,?,ok ?,1,0.05555555555555555
doorman,walked,doorman walked,1,0.05555555555555555
delivered,on,delivered on,1,0.05555555555555555
parking,fees,parking fees,3,0.05555555555555555
delivered,one,delivered one,1,0.05555555555555555
fitness,equipment,fitness equipment,1,0.05555555555555555
value,",","value ,",1,0.05555555555555555
cold,stay,cold stay,1,0.05555555555555555
high,floor,high floor,2,0.05555555555555555
delivered,and,delivered and,1,0.05555555555555555
choice,and,choice and,1,0.05555555555555555
drink,the,drink the,1,0.05555555555555555
already,had,already had,1,0.05555555555555555
train,),train ),1,0.05555555555555555
everything,else,everything else,4,0.05555555555555555
delivered,within,delivered within,1,0.05555555555555555
review,will,review will,1,0.05555555555555555
dinner,(,dinner (,2,0.05555555555555555
review,last,review last,1,0.05555555555555555
delivered,but,delivered but,1,0.05555555555555555
happened,:,happened :,1,0.05555555555555555
ok,with,ok with,1,0.05555555555555555
airport,<UNK>,airport <UNK>,1,0.05555555555555555
already,inside,already inside,1,0.05555555555555555
member,was,member was,1,0.05555555555555555
<num>pm,check,<num>pm check,1,0.05555555555555555
member,took,member took,1,0.05555555555555555
security,who,security who,1,0.05555555555555555
outside,and,outside and,1,0.05555555555555555
north,to,north to,1,0.05555555555555555
high,end,high end,2,0.05555555555555555
making,this,making this,1,0.05555555555555555
home,base,home base,2,0.05555555555555555
member,?,member ?,1,0.05555555555555555
outside,my,outside my,1,0.05555555555555555
delivered,along,delivered along,1,0.05555555555555555
security,back,security back,1,0.05555555555555555
train,that,train that,1,0.05555555555555555
security,tried,security tried,1,0.05555555555555555
security,up,security up,1,0.05555555555555555
already,assigned,already assigned,1,0.05555555555555555
visit,was,visit was,2,0.05555555555555555
north,end,north end,1,0.05555555555555555
choice,next,choice next,1,0.05555555555555555
already,sent,already sent,1,0.05555555555555555
lot,more,lot more,2,0.05555555555555555
entire,fridge,entire fridge,1,0.05555555555555555
member,program,member program,1,0.05555555555555555
dinner,",","dinner ,",2,0.05555555555555555
these,really,these really,2,0.05555555555555555
security,and,security and,1,0.05555555555555555
come,out,come out,2,0.05555555555555555
drink,looking,drink looking,1,0.05555555555555555
dinner,drink,dinner drink,2,0.05555555555555555
making,facilities,making facilities,1,0.05555555555555555
outside,except,outside except,1,0.05555555555555555
entire,floor,entire floor,1,0.05555555555555555
should,go,should go,2,0.05555555555555555
outside,stairs,outside stairs,1,0.05555555555555555
drink,<UNK>,drink <UNK>,1,0.05555555555555555
choice,pillow,choice pillow,1,0.05555555555555555
dinner,there,dinner there,2,0.05555555555555555
cold,items,cold items,1,0.05555555555555555
visit,and,visit and,2,0.05555555555555555
making,business,making business,1,0.05555555555555555
cold,with,cold with,1,0.05555555555555555
security,",","security ,",1,0.05555555555555555
should,n't,should n't,2,0.05555555555555555
security,was,security was,1,0.05555555555555555
fitness,<UNK>,fitness <UNK>,1,0.05555555555555555
value,as,value as,1,0.05555555555555555
airport,is,airport is,1,0.05555555555555555
fitness,centre,fitness centre,1,0.05555555555555555
drink,?,drink ?,1,0.05555555555555555
entire,life,entire life,1,0.05555555555555555
entire,day,entire day,1,0.05555555555555555
should,at,should at,2,0.05555555555555555
already,wrote,already wrote,1,0.05555555555555555
train,in,train in,1,0.05555555555555555
review,about,review about,1,0.05555555555555555
entire,magnificent,entire magnificent,1,0.05555555555555555
member,<UNK>,member <UNK>,1,0.05555555555555555
to,be,to be,116,0.05547584887613582
night,and,night and,11,0.05527638190954774
or,the,or the,9,0.05521472392638037
they,have,they have,27,0.05521472392638037
never,heard,never heard,6,0.05504587155963303
can,<UNK>,can <UNK>,6,0.05504587155963303
can,see,can see,6,0.05504587155963303
better,service,better service,5,0.054945054945054944
bar,of,bar of,5,0.054945054945054944
two,days,two days,7,0.0546875
where,we,where we,3,0.05454545454545454
internet,connection,internet connection,3,0.05454545454545454
internet,service,internet service,3,0.05454545454545454
go,out,go out,6,0.05454545454545454
internet,<UNK>,internet <UNK>,3,0.05454545454545454
their,website,their website,6,0.05454545454545454
their,own,their own,6,0.05454545454545454
go,.,go .,6,0.05454545454545454
where,it,where it,3,0.05454545454545454
work,in,work in,3,0.05454545454545454
've,never,'ve never,3,0.05454545454545454
within,minutes,within minutes,2,0.05405405405405406
year,<UNK>,year <UNK>,2,0.05405405405405406
year,the,year the,2,0.05405405405405406
how,much,how much,2,0.05405405405405406
rude,to,rude to,2,0.05405405405405406
within,<UNK>,within <UNK>,2,0.05405405405405406
how,can,how can,2,0.05405405405405406
customer,.,customer .,2,0.05405405405405406
how,this,how this,2,0.05405405405405406
how,great,how great,2,0.05405405405405406
hour,is,hour is,2,0.05405405405405406
year,for,year for,2,0.05405405405405406
within,that,within that,2,0.05405405405405406
small,but,small but,6,0.05405405405405406
